"Company Name","Primary Phone","Email","Website","Primary Representative","Physical Address 1","Physical Address 2","Physical City","Physical State","Physical Zip","Mailing Address 1","Mailing Address 2","Mailing City","Mailing State","Mailing Zip","Membership Status","Join Date","Membership Type","Renewal Month","Billing Contact","Annual Fees and Dues Amount"
"Plaza del Lago","(847) 449-5587","brittany.mundarain@wsdevelopment.com","http://www.plazadelago.com","","1515 Sheridan Rd. ","","Wilmette","IL","60091","1515 Sheridan Rd. ","","Wilmette","IL","60091","Active","12/31/2024","Platinum","January","Lauren Bennett","1,500.00"
"International Bank of Chicago","847 920-1400","eric.hubbard@inbk.com","http://www.inbk.com/","Eric Hubbard","611 Green Bay Rd.","","Wilmette","IL","60091","611 Green Bay Rd.","","Wilmette","IL","60091","Active","1/1/1900","Platinum","January","Sophie Meloudis","1,500.00"
"Regina Dominican High School","847 256-7660","marketing@rdpanthers.org","http://www.rdpanthers.org","Ellie Schmerler-Rich","701 Locust Rd.","","Wilmette","IL","60091","701 Locust Rd.","","Wilmette","IL","60091","Active","1/1/1900","Not-For-Profit","January","Ellie Schmerler-Rich","250.00"
"Ridgeview Grill","(847) 251-2770","ridgeviewgrill@sbcglobal.net","http://www.ridgeviewgrill.com","Dean Thanos","827 Ridge Rd.","","Wilmette","IL","60091","827 Ridge Rd.","","Wilmette","IL","60091","Active","9/22/2008","Basic","January","Dean Thanos","300.00"
"Woman's Club of Wilmette","847 251-0527","communications@womansclubofwilmette.org","http://www.womansclubofwilmette.org","Beth Dunn","930 Greenleaf Ave.","","Wilmette","IL","60091","930 Greenleaf Ave.","","Wilmette","IL","60091","Active","9/22/2008","Not-For-Profit","January","Beth Dunn","250.00"
"Shawnee  Service Garage","(847) 251-1234","shawneegarage@comcast.net","http://shawneeservicecenter.com","Phil Marvin","332 Linden Ave.","","Wilmette","Illinois","60091","332 Linden Ave.","","Wilmette","Illinois","60091","Active","1/1/1900","Basic","January","Phil Marvin","300.00"
"Sweet's Heating & Air Conditioning","847 251-1247","sweetsshop@sbcglobal.net","","Robert Beitzel","736 12th Street","","Wilmette","IL","60091","736 12th Street","","Wilmette","IL","60091","Active","1/1/1900","Basic","January","Robert Beitzel","300.00"
"Terry Animal Hospital","847 256-1131","terry_ah@sbcglobal.net","http://www.terryah.com","Genevieve England","1419 Lake Ave.","","Wilmette","IL","60091","1419 Lake Ave.","","Wilmette","IL","60091","Active","1/1/1900","Silver","January","Genevieve England","500.00"
"Vestor Realty Consultants, Inc.","847 920-9401","vrcappr@sbcglobal.net","http://www.vestorrealty.com","George  Baker","1405 Lake Ave.","","Wilmette","IL","60091","1405 Lake Ave.","","Wilmette","IL","60091","Active","1/1/1900","Basic","January","George Baker","300.00"
"Village of Wilmette","(847) 251-2700","hallgrene@wilmette.com","http://www.wilmette.com","Lisa Brosnan","1200 Wilmette Ave.","","Wilmette","IL","60091","1200 Wilmette Ave.","","Wilmette","IL","60091","Active","1/1/1900","Municipality","January","Lisa Brosnan","2,500.00"
"Wilmette Auto Body Rebuilders","847 251-1535","glen@wilmetteautobody.com","http://wilmetteautobody.com","Glen Dekoven","1920 Lake Ave.","","Wilmette","IL","60091","1920 Lake Ave.","","Wilmette","IL","60091","Active","1/1/1900","Basic","January","Glen Dekoven","300.00"
"Wilmette Bicycle & Sports Shop","847 251-1404","wilmettesportshop@comcast.net","http://www.wilmettesportshop.com/","Allan & Larry Versino","605 Green Bay Rd.","","Wilmette","IL","60091","605 Green Bay Rd.","","Wilmette","IL","60091","Active","1/1/1900","Basic","January","Allan & Larry Versino","300.00"
"Wilmette/Kenilworth Chamber of Commerce","847 251-3800","info@wilmettekenilworth.com","http://www.wilmettekenilworth.org","Jennifer Herren Gatesman","351 Linden","","Wilmette","IL","60091","351 Linden","","Wilmette","IL","60091","Active","1/1/1900","Chamber of Commerce","January","Jennifer Herren Gatesman","0.00"
"Wilmette History Museum","847 853-7666","museum@wilmette.com","http://www.wilmettehistory.org","Rachel Ramirez","609 Ridge Rd.","","Wilmette","IL","60091","609 Ridge Rd.","","Wilmette","IL","60091","Active","1/1/1900","Not-For-Profit","January","Rachel Ramirez","250.00"
"Wilmette Lucke Plumbing, Inc.","847 251-2020","wilplumb@sbcglobal.net","http://www.luckeplumbing.com","Scott Stieber","736 12th Street","","Wilmette","IL","60091","736 12th Street","","Wilmette","IL","60091","Active","1/1/1900","Silver","January","Scott Stieber","500.00"
"Wilmette Park District","(847) 256-6100","clindgren@wilpark.org","http://www.wilmettepark.org","Chris Lindgren","3000 Glenview Rd.","","Wilmette","IL","60091","1200 Wilmette Ave.","","Wilmette","IL","60091","Active","1/1/1900","Silver","January","Lindsay Thomas","0.00"
"Wilmette Public Library","847 256-5025","aauston@wilmettelibrary.info","http://www.wilmettelibrary.info","Anthony Auston","1242 Wilmette Ave.","","Wilmette","IL","60091","1242 Wilmette Ave.","","Wilmette","IL","60091","Active","1/1/1900","Gold","January","Anthony Auston","1,000.00"
"Wilmette Theatre","(847) 251-7424","info@wilmettetheatre.com","http://www.wilmettetheatre.com","Karen Barr","1122 Central Ave.","","Wilmette","IL","60091","1122 Central Ave.","","Wilmette","IL","60091","Active","1/1/1900","Not-For-Profit","January","Accountant","250.00"
"greenmanIT, Inc.","847 921-0172","dlee@greenmanit.com","http://www.greenmanit.com","David Lee","1715 Central Ave.","","Wilmette","IL","60091","1715 Central Ave.","","Wilmette","IL","60091","Active","9/28/2008","Basic","January","David Lee","300.00"
"Wilmette Maids","847 853-9793","info@wilmettemaids.com","http://www.wilmettemaids.com","Rasa Rinkeviciute","644 Hibbard Rd.","","Wilmette","IL","60091","644 Hibbard Rd.","","Wilmette","IL","60091","Active","9/22/2008","Basic","January","Rasa Rinkeviciute","300.00"
"North Shore Community Bank","(847) 853-1145","mdonnell@nscbank.com","http://www.nscbank.com","Terrell Perry","1145 Wilmette Ave.","","Wilmette","IL","60091","1145 Wilmette Ave.","","Wilmette","IL","60091","Active","9/22/2008","Platinum","January","Terrell Perry","1,500.00"
"Benedetto Dental","847 256-1070","benedettodental@gmail.com","http://www.benedettodental.com","Athena Schwegel","1625 Sheridan Rd., Ste. K & L","","Wilmette","IL","60091","1625 Sheridan Rd., Ste. K & L","","Wilmette","IL","60091","Active","1/1/2020","Basic","January","Athena Schwegel","300.00"
"A Center for Acupuncture ","847 251-5225","jason@acfom.com","http://www.acfom.com","Jason Bussell","415 1/2 Fourth St.","","Wilmette","IL","60091","415 1/2 Fourth St.","","Wilmette","IL","60091","Active","1/9/2003","Basic","January","Jason Bussell","300.00"
"West End Florist, Inc. & Garden Center","847 251-1943","ehoffmanwest@ameritech.net","http://www.westendflorist.com","Elizabeth Hoffman","3800 Old Glenview Rd.","","Evanston","IL","60201","3800 Old Glenview Rd.","","Evanston","IL","60201","Active","2/19/2004","Basic","January","Elizabeth Hoffman","300.00"
"Shore Line Place","847 251-6212","shore.line@LSSI.org","http://www.lssi.org/service/ShoreLinePlace.aspx","Marsha Holmes","324 Linden Ave.","","Wilmette","IL","60091","324 Linden Ave.","","Wilmette","IL","60091","Active","3/19/2004","Not-For-Profit","January","Marsha Holmes","250.00"
"Ronald Knox Montessori School","847 256-2922","office_manager@ronaldknox.org","http://www.ronaldknox.org","Anita McGing","2031 Elmwood Ave.","","Wilmette","IL","60091","2031 Elmwood Ave.","","Wilmette","IL","60091","Active","9/22/2008","Not-For-Profit","January","Robin Padar","250.00"
"Pediatric Dentistry Specialists P.C.-Dr. Angela Kalb","847 256-2501","smile@pediatric-dentistry.org","http://pediatric-dentistry.org/","Angela Kalb","1103 Central Ave.","","Wilmette","IL","60091","1103 Central Ave.","","Wilmette","IL","60091","Active","9/22/2008","Gold","January","Angela Kalb","1,000.00"
"Raynor Door Company","847 441-6900","john@raynordoor.com","http://www.raynordoor.com","John Bradley","1653 Winnetka Ave.","","Northfield","IL","60093","1653 Winnetka Ave.","","Northfield","IL","60093","Active","2/28/2005","Basic","January","John Bradley","300.00"
"Stuart A Feldman P.C.","847 256-9800","sfeldman@northshore.net","","Stuart Feldman","811 Westwood Lane","","Wilmette","IL","60091","811 Westwood Lane","","Wilmette","IL","60091","Active","3/15/2005","Basic","January","Stuart Feldman","300.00"
"Eggemeyer & Graham Orthodontics, Ltd","847 256-3235","frontdesk@egortho.com","http://www.egortho.com","Elsa Hernandez","403 Linden Ave.","","Wilmette","IL","60091","403 Linden Ave.","","Wilmette","IL","60091","Active","1/31/2006","Basic","January","Libby  Graham","300.00"
"Bottle Shop, The","847 256-7777","amy@thebottleshop.net","http://www.thebottleshop.net","Amy Lafontant","1148 Central Ave.","","Wilmette","IL","60091","1148 Central Ave.","","Wilmette","IL","60091","Active","12/15/2005","Basic","January","Amy Lafontant","300.00"
"Baker Demonstration School","(847) 425-5800","communications@bakerdemschool.org","http://www.bakerdemschool.org","Baker Demonstration School","201 Sheridan Rd.","","Wilmette","IL","60091","201 Sheridan Rd.","","Wilmette","IL","60091","Active","11/2/2020","Not-For-Profit","January","Baker Demonstration School","250.00"
"Rotary Club of Wilmette","(847) 722-2115","Clubrotarywilmette@gmail.com","http://wilmetterotary.org/","Debora Morris","","","Wilmette","IL","60091","P.O. Box 111","","Wilmette","IL","60091","Active","8/18/2006","Not-For-Profit","January","Debora Morris","250.00"
"Litigators Incorporated, P.C.","847 251-0808","litigatorsinc@msn.com","http://www.litigatorsinc.net","Jeff Brody","825 Green Bay Rd.","Ste. 124","Wilmette","IL","60091","825 Green Bay Rd.","Ste. 124","Wilmette","IL","60091","Active","3/7/2007","Basic","January","Jeff Brody","300.00"
"Shoreview Orthodontics","847 251-6228","cher.phillips@shoreviewortho.com","http://www.mcclellanortho.com/","Cher Phillips","450 Green Bay Rd.","","Kenilworth","IL","60043","450 Green Bay Rd.","","Kenilworth","IL","60043","Active","11/2/2007","Basic","January","Cher Phillips","300.00"
"Todd Markman, State Farm Insurance Agency","847 256-8633","todd@toddmarkman.com","http://www.toddmarkman.com","Todd Markman","809 Ridge Rd.","","Wilmette","IL","60091","809 Ridge Rd.","","Wilmette","IL","60091","Active","2/22/2008","Basic","January","Todd Markman","300.00"
"Midwest Certified Insurance","(847) 427-8000","britney@midwestga.com","https://midwestcertified.com/","Robert Adam","54 W. Seegers Rd.","","Arlington Heights","IL","60005","54 W. Seegers Rd.","","Arlington Heights","IL","60005","Active","2/25/2008","Basic","January","Britney Camacho","300.00"
"Go Green Wilmette","(847) 910-3172","info@gogreenwilmette.org","http://www.gogreenwilmette.org","Beth Drucker","P.O. Box 954","","Wilmette","IL","60091","P.O. Box 954","","Wilmette","IL","60091","Active","3/11/2008","Not-For-Profit","January","Tina Schultz","250.00"
"New Trier Democrats","(847) 386-6109","team@newtrierdemocrats.org","https://newtrierdemocrats.org/","Patrick Henley","800 Oak, Ste 112","","Winnetka","IL","60093","800 Oak, Ste 112","","Winnetka","IL","60093","Active","4/24/2008","Not-For-Profit","January","Patrick Henley","250.00"
"Millen Hardware","(847) 251-3060","dibmillen@gmail.com","https://johnmillenhardware.com","Doug Sanders","1219 Wilmette Ave.","","Wilmette","IL","60091","1219 Wilmette Ave.","","Wilmette","IL","60091","Active","6/4/2008","Basic","January","Doug Sanders","300.00"
"The Key  ","(847) 260-9813","nhopkins@thekey.com","https://thekey.com/locations/illinois/chicago","Nancy Hopkins","1300 W. HIggins","","Park Ridge","IL","60068","1300 W. HIggins","","Park Ridge","IL","60068","Active","2/9/2009","Basic","January","Nancy Hopkins","0.00"
"William Harris Lee & Co., Inc.","(847) 920-9445","whleenorth@whlee.com","http://www.whlee.com","Beth Foort","1138 Central Ave.","","Wilmette","IL","60091","1138 Central Ave.","","Wilmette","IL","60091","Active","10/1/2009","Basic","January","Beth Foort","300.00"
"Comcast Business","(847) 460-2971","chaitenya_goshalia@cable.comcast.com","http://www.business.comcast.com","Chad Goshalia","1475 E. Woodfield Road","3rd Floor","Schaumburg","IL","60173","1475 E. Woodfield Road","3rd Floor","Schaumburg","IL","60173","Active","11/16/2009","Basic","January","Kristen Keane","300.00"
"Village of Kenilworth","(847) 251-1666","info@vok.org","http://www.vok.org","Kathy Thake","419 Richmond Rd.","","Kenilworth","IL","60043","419 Richmond Rd.","","Kenilworth","IL","60043","Active","12/18/2009","Municipality","January","Kathy Thake","2,500.00"
"@properties Winnetka","(847) 881-0200","carrietarzon@atproperties.com","http://www.atproperties.com","Mary Grant","30 Green Bay Road","","Winnetka","IL","60093","30 Green Bay Road","","Winnetka","IL","60093","Active","5/21/2010","Platinum","January","Mary Grant","1,500.00"
"Edward A. Anderson Company","(847) 446-1648","pa@andersonbuilt.com","http://www.andersonbuilt.com","Paul Armstrong","Paul L. Armstrong AIA ","22 Green Bay Road","Winnetka","IL","60093","Paul L. Armstrong AIA ","22 Green Bay Road","Winnetka","IL","60093","Active","6/14/2010","Basic","January","Paul Armstrong","300.00"
"Chabad Center for Jewish Life & Learning","(847) 251-7707","rabbi@chabadwilmette.com","http://www.chabadwilmette.com","Dovid Flinkenstein","2904 Old Glenview Rd","","Wilmette","IL","60091","2904 Old Glenview Rd","","Wilmette","IL","60091","Active","12/3/2010","Not-For-Profit","January","Dovid Flinkenstein","250.00"
"New Trier Township Government","(847) 446-8202","lhopkins@newtriertownship.com","http://www.newtriertownship.com","Heather Oliver","739 Elm Street","","Winnetka","IL","60093","739 Elm Street","","Winnetka","IL","60093","Active","2/18/2011","Not-For-Profit","January","Heather Oliver","250.00"
"Wilmette Foot & Ankle Clinic","(847) 256-4434","doctor@wellfoot.com","http://www.wilmettefootcare.com","Gary Rogers","1919 Lake Ave., Ste. A","","Wilmette","IL","60091","1919 Lake Ave., Ste. A","","Wilmette","IL","60091","Active","3/30/2011","Basic","January","Gary Rogers","500.00"
"North Shore Music","(847) 906-4401","nsmwilmette@gmail.com","http://www.northshoremusicwilmette.com","Alejandro Urzagaste","1167 Wilmette Ave","Suite 210","Wilmette","IL","60091","1167 Wilmette Ave","Suite 210","Wilmette","IL","60091","Active","","Silver","January","Alejandro Urzagaste","500.00"
"Music Theater Works","(847) 920-5360","kdougan@musictheaterworks.org","http://www.musictheaterworks.com","Kyle Dougan","516 4th Street","","Wilmette","IL","60091","516 4th Street","","Wilmette","IL","60091","Active","4/11/2011","Not-For-Profit","January","Christopher  Riley","250.00"
"SNAP Dance","(847) 251-7627","SNAPWilmette@gmail.com","http://studionorthacademy.com","Pamela Fox","414 Linden","","Wilmette","IL","60091","414 Linden","","Wilmette","IL","60091","Active","8/27/2011","Silver","January","Pamela Fox","500.00"
"Yellow Bird Stationery, Invitations & Gifts","(847) 256-1380","yellowbirdstore@sbcglobal.net","http://www.yellowbirdstore.com","Carol Schaner","1199 Wilmette Ave.","","Wilmette","IL","60091","1199 Wilmette Ave.","","Wilmette","IL","60091","Active","10/10/2011","Basic","January","Carol Schaner","300.00"
"Music Institute of Chicago","(847) 905-1500","efusco@musicinst.org","http://www.musicinst.org","","300 Green Bay Road","","Winnetka","IL","60093","300 Green Bay Road","","Winnetka","IL","60093","Active","1/25/2012","Not-For-Profit","January","Clem Leek","250.00"
"Mathnasium of Kenilworth","(847) 251-3200","jsteve@schoolhouse4math.com","http://www.mathnasium.com/kenilworth","Cheyanne Snead","554 Green Bay Road","","Kenilworth","IL","60043","222 Northfield Road  Suite 201","","Northfield","IL","60093","Active","8/26/2013","Basic","January","J. Steve Santacruz","300.00"
"John Plunkett Interiors, LLC","(847) 906-1000","office@johnplunkettinteriors.com","http://johnplunkettinteriors.com","John Plunkett","80 Green Bay Rd.","","Winnetka","IL","60093","80 Green Bay Rd.","","Winnetka","IL","60093","Active","9/20/2013","Silver","January","John Plunkett","500.00"
"Residence Inn by Marriott Wilmette","(847) 251-6600","koconnell@zmchotels.com","http://marriott.com/chiwl","Kathryn            O'Connell","3205 Old Glenview Rd.","","Wilmette","IL","60091","3205 Old Glenview Rd.","","Wilmette","IL","60091","Active","2/24/2014","Silver","January","Kathryn            O'Connell","500.00"
"Law Offices of Charles E. Hutchinson, LLC","(312) 259-0672","charles@charleshutchinsonlaw.com","http://www.charleshutchinsonlaw.com","Charles Hutchinson","607 9th Street","","Wilmette","IL","60091","607 9th Street","","Wilmette","IL","60091","Active","8/1/2014","Platinum","January","Charles Hutchinson","1,500.00"
"Hubba-Hubba","(847) 728-0272","hubbahubba.wilmette@gmail.com","http://hubbahubbawilmette.com","Julie Cohen","1105 Central Ave.","","Wilmette","IL","60091","1105 Central Ave.","","Wilmette","IL","60091","Active","2/25/2015","Silver","January","Julie Cohen","300.00"
"Bella Tile & Stone, Wilmette","(224) 408-2544","missy@bellatileandstone.com","http://bellatileandstone.com","Missy McDonald","1191 Wilmette Avenue","","Wilmette","IL","60091","1191 Wilmette Avenue","","Wilmette","IL","60091","Active","9/18/2015","Silver","January","Missy McDonald","500.00"
"North Shore Associates in Gyne/OB, S.C.","(847) 475-1224","lasaleh60@gmail.com","http://www.nsago.com","Laura Saleh","328 Linden Ave.","","Wilmette","IL","60091","328 Linden Ave.","","Wilmette","IL","60091","Active","11/13/2015","Platinum","January","Laura Saleh","1,500.00"
"Banner Literacy","(847) 636-6064","terrie.briggs@bannerliteracy.com","http://www.bannerliteracy.com","Terrie Briggs","1232 Greenwood","","Wilmette","IL","60091","1232 Greenwood","","Wilmette","IL","60091","Active","2/29/2016","Silver","January","Terrie Briggs/Tim Bridgma Bridgman","500.00"
"New Trier Educational Foundation","(847) 784-2667","mayere@newtrier.k12.il.us","https://newtrierconnect.org","Pon Angara","7 Happ Rd.","","Northfield","IL","60093","7 Happ Rd.","","Northfield","IL","60093","Active","2/29/2016","Not-For-Profit","January","Pon Angara","250.00"
"St. Roger Abbey Organic French Gourmet Patisserie","(847) 251-3005","raphael10@aol.com","http://www.strogerabbey.org","Sister Marie  Valerie","1101 Central Ave.","","Wilmette","IL","60091","1101 Central Ave.","","Wilmette","IL","60091","Active","8/24/2016","Not-For-Profit","January","Sister Marie  Valerie","250.00"
"Smilin Dental","(847) 446-5868","Smilin@smilindental.com","http://www.smilindental.com","Steven Bacalar","411 Linden Ave.","","Wilmette","IL","60091","411 Linden Ave.","","Wilmette","IL","60091","Active","8/29/2016","Silver","January","Steven Bacalar","300.00"
"A. Perry Homes","(847) 549-0668","aperryhomes@gmail.com","http://aperryhomes.com","Anthony Perry","1220 Washington Ave.","","Wilmette","IL","60091","1220 Washington Ave.","","Wilmette","IL","60091","Active","10/14/2016","Silver","January","Anthony Perry","500.00"
"Napolita Pizzeria & Wine Bar","(224) 215-0305","josh@vandalaybrands.com","http://www.napolitapizza.com","Jackie Rosen","1126 Central Ave.","","Wilmette","IL","60091","1126 Central Ave.","","Wilmette","IL","60091","Active","10/31/2016","Silver","January","Kate Ahern","750.00"
"Kurv","(847) 529-1609","rabbimartyn@gmail.com","http://www.kurv.com","Martyn Adelberg","","","Morton Grove","IL","60053","7927 Maple St.","","Morton Grove","IL","60053","Active","12/1/2016","Basic","January","Martyn Adelberg","300.00"
"Red Spade Environments, LLC","(847) 271-9857","skmyers@redspadeenvironments.com","http://www.redspadeenvironments.com","Stephanie King-Myers","1000 Ridge Road","","Wilmette","IL","60091","1000 Ridge Road","","Wilmette","IL","60091","Active","2/3/2017","Silver","January","Stephanie King-Myers","500.00"
"Efficiency Marketing & Publicity","(847) 691-8399","heather@efficiencymarketingandpublicity.com","https://www.linkedin.com/in/heatherhehman","Heather Hehman","","","Wilmette","IL","60091","116 Lawndale","","Wilmette","IL","60091","Active","","Basic","January","Heather Hehman","300.00"
"Grotto Communications","(847) 475-9724","kim@grottocom.com","https://www.grottocom.com","Kimberly Pierceall","821 Brummel","","Evanston","IL","60202","821 Brummel","","Evanston","IL","60202","Active","4/24/2017","Basic","January","Kimberly Pierceall","300.00"
"Endoscopy Center of the North Shore","(847) 256-1855","info@ginorthshore.com","http://www.ginorthshore.com","Manoj Mehta","1732 Central Ave.","","Evanston","IL","60201","1732 Central Ave.","","Evanston","IL","60201","Active","4/27/2017","Basic","January","Manoj Mehta","300.00"
"Torino Ramen","(847) 920-5075","info@torinoramen.com","http://www.torinoramen.com","Chikako Eickbush","1162 Wilmette Ave.","","Wilmette","IL","60091","1162 Wilmette Ave.","","Wilmette","IL","60091","Active","5/15/2017","Silver","January","Chikako Eickbush","500.00"
"A.S.K. Marketing Group, Inc.","(847) 207-4643","askgroup2020@gmail.com","","Anne Kelly","","","Wilmette","IL","60091","2237 Schiller","","Wilmette","IL","60091","Active","1/17/2018","Basic","January","Anne Kelly","300.00"
"Residences of Wilmette LLC, The","(224) 505-6500","residencesofwilmette@rmk.com","http://www.theresidencesofwilmette.com/","Todd Dluzniewski","617 Green Bay Rd.","","Wilmette","IL","60091","617 Green Bay Rd.","","Wilmette","IL","60091","Active","1/22/2018","Basic","January","Todd Dluzniewski","300.00"
"Oto Float","(847) 906-3299","heather@otofloat.com","http://www.otofloat.com","Heather Martello","1214 Washington Ave.","","Wilmette","IL","60091","1214 Washington Ave.","","Wilmette","IL","60091","Active","6/13/2018","Basic","January","Heather Martello","150.00"
